Year,Age,Tm,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2000,23,NWE,1,0,1,3,33.3,6,0,0,0,0,,6,2,2,6,6,42.4,,0,0,0,2,2,,,0,
2001,24,NWE,15,14,264,413,63.9,2843,18,4.4,12,2.9,145,91,6.9,6.4,10.8,189.5,86.5,,41,216,9,5.79,5.39,3,3,12,PB
2002,25,NWE,16,16,373,601,62.1,3764,28,4.7,14,2.3,185,49,6.3,6.1,10.1,235.3,85.7,,31,190,4.9,5.66,5.54,2,3,13,
2003,26,NWE,16,16,317,527,60.2,3620,23,4.4,12,2.3,175,82,6.9,6.7,11.4,226.3,85.9,,32,219,5.7,6.08,5.94,3,5,11,MVP-3
2004,27,NWE,16,16,288,474,60.8,3692,28,5.9,14,3,187,50,7.8,7.6,12.8,230.8,92.6,,26,162,5.2,7.06,6.92,0,1,16,PB
2005,28,NWE,16,16,334,530,63,4110,26,4.9,14,2.6,197,71,7.8,7.5,12.3,256.9,92.3,,26,188,4.7,7.05,6.86,3,4,15,"MVP-3, OPoY-4, AP2, PB"
2006,29,NWE,16,16,319,516,61.8,3529,24,4.7,12,2.3,176,62,6.8,6.7,11.1,220.6,87.9,68.6,26,175,4.8,6.19,6.08,2,2,14,
2007,30,NWE,16,16,398,578,68.9,4806,50,8.7,8,1.4,240,69,8.3,9.4,12.1,300.4,117.2,87,21,128,3.5,7.81,8.88,4,4,23,"MVP-1, OPoY-1, AP1, PB"
2008,31,NWE,1,1,7,11,63.6,76,0,0,0,0,3,26,6.9,6.9,10.9,76,83.9,59.5,0,0,0,6.91,6.91,,,0,
2009,32,NWE,16,16,371,565,65.7,4398,28,5,13,2.3,215,81,7.8,7.7,11.9,274.9,96.2,74.1,16,86,2.8,7.42,7.38,1,1,17,PB
2010,33,NWE,16,16,324,492,65.9,3900,36,7.3,4,0.8,189,79,7.9,9,12,243.8,111,79.1,25,175,4.8,7.21,8.25,2,3,18,"MVP-1, OPoY-1, AP1, PB"
2011,34,NWE,16,16,401,611,65.6,5235,39,6.4,12,2,262,99,8.6,9,13.1,327.2,105.6,73.8,32,173,5,7.87,8.25,1,2,21,PB
2012,35,NWE,16,16,401,637,63,4827,34,5.3,8,1.3,256,83,7.6,8.1,12,301.7,98.7,76.1,27,182,4.1,7,7.48,1,2,19,"OPoY-3, PB"
2013,36,NWE,16,16,380,628,60.5,4343,25,4,11,1.8,226,81,6.9,6.9,11.4,271.4,87.3,63.1,40,256,6,6.12,6.13,5,5,13,"MVP-2, OPoY-4, PB"
2014,37,NWE,16,16,373,582,64.1,4109,33,5.7,9,1.5,221,69,7.1,7.5,11,256.8,97.4,76.2,21,134,3.5,6.59,7.01,2,2,16,"MVP-5, PB"
2015,38,NWE,16,16,402,624,64.4,4770,36,5.8,7,1.1,229,76,7.6,8.3,11.9,298.1,102.2,68.4,38,225,5.7,6.87,7.48,2,2,18,"MVP-2, OPoY-4, PB"
2016,39,NWE,12,12,291,432,67.4,3554,28,6.5,2,0.5,165,79,8.2,9.3,12.2,296.2,112.2,79.4,15,87,3.4,7.76,8.81,1,1,13,"MVP-2, OPoY-4, AP2, PB"
2017,40,NWE,16,16,385,581,66.3,4577,32,5.5,8,1.4,230,64,7.9,8.4,11.9,286.1,102.8,70.6,35,201,5.7,7.1,7.56,2,2,20,"MVP-1, OPoY-3, AP1, PB"
2018,41,NWE,16,16,375,570,65.8,4355,29,5.1,11,1.9,255,63,7.6,7.8,11.6,272.2,97.7,68.4,21,147,3.6,7.12,7.26,1,2,14,PB
2019,42,NWE,16,16,373,613,60.8,4057,24,3.9,8,1.3,193,59,6.6,6.8,10.9,253.6,88,55.7,27,185,4.2,6.05,6.24,1,1,12,
2020,43,TAM,16,16,401,610,65.7,4633,40,6.6,12,2,233,50,7.6,8,11.6,289.6,102.2,66,21,143,3.3,7.12,7.53,3,3,15,
2021,44,TAM,17,17,485,719,67.5,5316,43,6,12,1.7,269,62,7.4,7.8,11,312.7,102.1,68.1,22,144,3,6.98,7.41,3,5,16,"MVP-2, OPoY-3, AP2, PB"
